subject,predicate,object
VIÊM GAN B,HAS_SYMPTOM,TRÀO NGƯỢC DẠ DÀY
VIÊM GAN B,HAS_SYMPTOM,XUNG HUYẾT HANG VỊ
XUNG HUYẾT HANG VỊ,HAS_SYMPTOM,TRÀO NGƯỢC DẠ DÀY
CAO HUYẾT ÁP,HAS_SYMPTOM,VIÊM GAN C
MÃN TÍNH,HAS_SYMPTOM,NỔI MỀ ĐAY
AMIDAN,HAS_SYMPTOM,BIẾN CHỨNG
SỞI,HAS_SYMPTOM,QUAI BỊ
MÃN TÍNH,HAS_SYMPTOM,RỐI LOẠN GIẤC NGỦ
BỊ BỆNH MÀY ĐAY,HAS_SYMPTOM,MẨN ĐỎ
MÃN TÍNH,HAS_SYMPTOM,COVID
MÃN TÍNH,HAS_SYMPTOM,VIÊM MŨI
MÃN TÍNH,HAS_SYMPTOM,BIẾN CHỨNG
BỊ BỆNH MÀY ĐAY,HAS_SYMPTOM,NGỨA
TRIỆU CHỨNG,HAS_SYMPTOM,MỎI
MÃN TÍNH,HAS_SYMPTOM,THỞ KHÒ KHÈ
NỔI MỤN NƯỚC LI TI,HAS_SYMPTOM,VIÊM DA CƠ ĐỊA
CAO HUYẾT ÁP,HAS_SYMPTOM,PARKINSON
DI CHỨNG,HAS_SYMPTOM,ĐỘNG KINH
DI CHỨNG,HAS_SYMPTOM,VIÊM
VIÊM HỌNG,HAS_SYMPTOM,MÃN TÍNH
MÃN TÍNH,HAS_SYMPTOM,KHÓ THỞ
MÃN TÍNH,HAS_SYMPTOM,HAY HO
ĐAU,HAS_SYMPTOM,LAO PHỔI
MÃN TÍNH,HAS_SYMPTOM,DỊ ỨNG
MÃN TÍNH,HAS_SYMPTOM,SUY GIÃN TĨNH MẠCH
HEMOPHILIA A,HAS_SYMPTOM,MÃN TÍNH
HEMOPHILIA A,HAS_SYMPTOM,SIÊU VI B
SUY GAN,HAS_SYMPTOM,HỘI CHỨNG STEVEN-JOHNSON
VIÊM GAN C,HAS_SYMPTOM,VẢY NẾN
PARKINSON,HAS_SYMPTOM,COVID
HUYẾT ÁP,HAS_SYMPTOM,PARKINSON
KÍCH ỨNG,HAS_SYMPTOM,COVID
MỀ ĐAY,HAS_SYMPTOM,MẨN NGỨA
TIỂU ĐƯỜNG,HAS_SYMPTOM,VIÊM GAN B
TRIỆU CHỨNG,HAS_SYMPTOM,SỐT
DỊ ỨNG,HAS_SYMPTOM,NỔI MỀ DAY
THIẾU MÁU,HAS_SYMPTOM,MÃN TÍNH
ĐAU,HAS_SYMPTOM,THỞ KHÒ KHÈ
DỊ ỨNG,HAS_SYMPTOM,NỔI MÀY ĐAY
BỆNH VIÊM HỌNG,HAS_SYMPTOM,COVID
MẨN NGỨA,HAS_SYMPTOM,NỔI MỤN NƯỚC LI TI
NHIỄM,HAS_SYMPTOM,ĐỘC GIÁP
SIÊU VI B,HAS_SYMPTOM,SỎI MẬT
TRIỆU CHỨNG,HAS_SYMPTOM,BASEDOW
VIÊM MŨI,HAS_SYMPTOM,VIÊM ĐA KHỚP DẠNG THẤP
NGỨA NGÁY,HAS_SYMPTOM,SIÊU VI B
THIẾU MÁU,HAS_SYMPTOM,VIÊM DA TIẾP XÚC
BỆNH LÝ NỀN,HAS_SYMPTOM,MÃN TÍNH
BỆNH GÚT,HAS_SYMPTOM,ĐAU
BỆNH GÚT,HAS_SYMPTOM,MÃN TÍNH
VIÊM MŨI,HAS_SYMPTOM,SỐT
VÀNG DA,HAS_SYMPTOM,HỘI CHỨNG STEVEN-JOHNSON
BỊ BỆNH,HAS_SYMPTOM,HEMOPHILIA A
CƯỜNG GIÁP,HAS_SYMPTOM,THÈM ĂN
TRÀ,HAS_SYMPTOM,UNG THƯ
SỎI THẬN,HAS_SYMPTOM,COVID
VIÊM ĐA KHỚP,HAS_SYMPTOM,COVID
XƠ GAN,HAS_SYMPTOM,VIRURS
SUYỄN,HAS_SYMPTOM,CĂNG CƠ
THIẾU MÁU NÃO,HAS_SYMPTOM,COVID
MÃN TÍNH,HAS_SYMPTOM,XƠ GAN
HEN,HAS_SYMPTOM,VIÊM DA CƠ ĐỊA
LAO MÀNG PHỔI,HAS_SYMPTOM,TRÀN DỊCH PHỔI
MỀ ĐAY,HAS_SYMPTOM,KHÓ THỞ
DỊ ỨNG,HAS_SYMPTOM,COVID
VIÊM,HAS_SYMPTOM,MÃN TÍNH
VIÊM ĐA KHỚP DẠNG THẤP,HAS_SYMPTOM,MÃN TÍNH
HUYẾT ÁP,HAS_SYMPTOM,VIÊM GAN B
LUPUS,HAS_SYMPTOM,BIẾN CHỨNG
TIỂU ĐƯỜNG,HAS_SYMPTOM,BIẾN CHỨNG
ĐAU,HAS_SYMPTOM,NGỦ CHẬP CHỜN
TẮC NGHẼN PHỔI,HAS_SYMPTOM,MÃN TÍNH
VIÊM MŨI,HAS_SYMPTOM,NHỊP TIM HƠI NHANH
PHÁT BAN,HAS_SYMPTOM,COVID
LAO PHỔI,HAS_SYMPTOM,HEMOPHILIA A
ĐỘNG KINH,HAS_SYMPTOM,COVID
SIÊU VI B,HAS_SYMPTOM,COVID
MẨN NGỨA,HAS_SYMPTOM,COVID
BỆNH NỀN,HAS_SYMPTOM,COVID
BỊ BỆNH BỤI PHỔI,HAS_SYMPTOM,COVID
VIÊM PHỔI,HAS_SYMPTOM,COVID
HỘI CHỨNG STEVEN-JOHNSON,HAS_SYMPTOM,NHIỄM ĐỘC
VẢY NẾN,HAS_SYMPTOM,COVID
VIÊM GAN,HAS_SYMPTOM,HỘI CHỨNG STEVEN-JOHNSON
NGỨA,HAS_SYMPTOM,COVID
NGỨA MẮT,HAS_SYMPTOM,TRIỆU CHỨNG
ĐAU ĐẦU,HAS_SYMPTOM,COVID
HO KHAN,HAS_SYMPTOM,COVID
TÂM THẦN,HAS_SYMPTOM,PHÂN LIỆT
HUYẾT ÁP,HAS_SYMPTOM,ĐAU TỨC
RỐI LOẠN TIỀN ĐÌNH,HAS_SYMPTOM,THOÁI HÓA HOÀNG ĐIỂM
TRÀO NGƯỢC DẠ DÀY,HAS_SYMPTOM,COVID
TRIỆU CHỨNG,HAS_SYMPTOM,KHÓ THỞ
UNG THƯ MÁU,HAS_SYMPTOM,COVID
ĐAU ĐẦU,HAS_SYMPTOM,MÃN TÍNH
