RUN TAY	HAS_SYMPTOM	RUN
VÙNG CHẨM	HAS_SYMPTOM	THIẾU MÁU
NGỨA	HAS_SYMPTOM	PHÁT BAN ĐỎ
ÊM CẦU	HAS_SYMPTOM	VIÊM
VÙNG DA	HAS_SYMPTOM	VIÊM DA
CÁU GẮT	HAS_SYMPTOM	SỤT CÂN
SƯNG ĐỎ	HAS_SYMPTOM	CHẢY MÁU
CHÓNG MẶT	DIAGNOSED_BY	TUẦN HOÀN
NHỊP TIM	HAS_SYMPTOM	ĐAU NGỰC
BIẾN CHỨNG	HAS_SYMPTOM	BỆNH NANG
NỔI MỀ ĐAY	TREATED_BY	COVDID-19
DỊ NGUYÊN	TREATED_BY	CORTICOSTEROIDS
HÔNG	HAS_SYMPTOM	KÝ SINH TRÙNG
LAO THẬN	HAS_SYMPTOM	VIÊM
TIỀN LIỆT TUYẾN	HAS_SYMPTOM	PHÌ ĐẠI
SUY GIÃN TĨNH MẠCH	HAS_SYMPTOM	VIÊM MŨI
SỢ LẠNH	DIAGNOSED_BY	KHÁM
VIRUS GAN B	DIAGNOSED_BY	TIÊM
NỔI MẨN ĐỎ	TREATED_BY	UỐNG THUỐC
ANG	HAS_SYMPTOM	ĐAU ĐẦU
LUPUS	HAS_SYMPTOM	MÃN TÍNH
CHẬM	HAS_SYMPTOM	MÃN TÍNH
MORPHINE	RELIES_ON	NGHIÊN CỨU
VI TRÙNG	HAS_SYMPTOM	VI TRÙNG LAO
DỊ NGUYÊN	TREATED_BY	MỸ PHẨM
HASHIMOTO	TREATED_BY	IOD 131
BỊ BỆNH PHỔI TẮC NGHẼN	HAS_SYMPTOM	XẸP PHỔI
HEN	HAS_SYMPTOM	SUY GIẢM CHỨC NĂNG PHỔI
CƠ THỂ	HAS_SYMPTOM	SUY NHƯỢC CƠ THỂ
MẤT VỊ	HAS_SYMPTOM	VIÊM PHỔI
TRÍCH XUẤT	RELIES_ON	MICRO TESE
COVID	HAS_SYMPTOM	VẨY NẾN
THẦN KINH TỌA	DIAGNOSED_BY	KHÁM
NGỨA	TREATED_BY	THUỐC KHÁNG HISTAMIN H1
TIÊM	RELIES_ON	IVF
TIÊU CHẢY	TREATED_BY	ĐIỀU. TRỊ
VIÊM CẦU	DIAGNOSED_BY	TIÊM
CẤY QUE	RELIES_ON	CẤY
THẦN KINH	HAS_SYMPTOM	UNG THƯ
XẠ TRI	RELIES_ON	HỖ TRỢ
TIÊU CHẢY	HAS_SYMPTOM	VÀNG DA
SỎI THẬN	HAS_SYMPTOM	GAN NHIỄM MỠ
KHÓ THỞ	HAS_SYMPTOM	PHÙ NIÊM
MỆT MỎI	HAS_SYMPTOM	THIẾU SỨC SỐNG
GHÉP TẠNG	TREATED_BY	CẤY GHÉP
BUỒN NÔN	HAS_SYMPTOM	CHẢY MÁU
DỊ ỨNG DA	TREATED_BY	ASTRAZENACA
DỊ ỨNG	TREATED_BY	VACCINCE
TIÊU CHẢY	TREATED_BY	VẮC-XIN
PHÁT	HAS_SYMPTOM	BỆNH LÝ
SỎI THẬN	PREVENTED_BY	KẾT LUẬN
TAI NẠN	TREATED_BY	PHẪU THUẬT K
TỬ VONG	HAS_SYMPTOM	BỆNH NỀN HÔ HẤP
HUYẾT ÁP	HAS_SYMPTOM	TRIỆU CHỨNG
UNG THƯ TÚI MẬT	HAS_SYMPTOM	EBV
THALASMESIA	TREATED_BY	VACCINCE
MẤT NGỦ	HAS_SYMPTOM	SUYỄN
ĐẦU MẶT	HAS_SYMPTOM	CƯỜNG GIÁP
XƠ GAN	HAS_SYMPTOM	TÁC DỤNG PHỤ
RỐI LOẠN NGÔN NGỮ	HAS_SYMPTOM	KHÓ PHÁT ÂM
ẾN CHỨNG	HAS_SYMPTOM	TRIỆU CHỨNG
PHẬP PHỒNG	HAS_SYMPTOM	THỞ RÍT
TIỂU ĐƯỜNG	HAS_SYMPTOM	KHÓ TIÊU
NỔI MẨN ĐỎ	TREATED_BY	VACCINCE
VI KHUẨN	TREATED_BY	NIT
MỠ MÁU	HAS_SYMPTOM	THOÁT VỊ ĐĨA ĐỆM
TRIỆU CHỨNG	HAS_SYMPTOM	BỆNH LÝ
TÁC DỤNG PHỤ	HAS_SYMPTOM	DỊ CẢM
HUYẾT ÁP	TREATED_BY	TELMISARTAN
GIẢM THỊ LỰC	HAS_SYMPTOM	THIỂU NIỆU
THỞ RÍT	TREATED_BY	VACCINCE
RÁM NẮNG	HAS_SYMPTOM	UNG THƯ DA
TRÀN DỊCH MÀNG PHỔI	HAS_SYMPTOM	VIÊM PHỔI
DỊCH	HAS_SYMPTOM	TIỂU ĐƯỜNG
BỆNH LẬU	HAS_SYMPTOM	LIÊN CẦU KHUẨN
TRĨ	HAS_SYMPTOM	ĐAU ĐẦU
